"AnimalID","Date","DateType","Weight_DayDiff","Weight","WeightDiff_Type"
"ABF002",2023-02-03,"Isolation",-2,140.5,"Before"
"ARF028",2022-05-06,"Isolation",-2,132,"Before"
"ARM003",2021-12-13,"Isolation",-14,176,"Before"
"BEM007",2022-03-03,"Isolation",-1,156,"Before"
"COF014",2022-01-18,"Isolation",0,145,"Before"
"COM009",2022-01-13,"Isolation",-13,166,"Before"
"CUF012",2022-01-18,"Isolation",0,131,"Before"
"CUF031",2022-01-18,"Isolation",0,119,"Before"
"DRF004",2023-02-03,"Isolation",-1,113,"Before"
"DRF015",2022-05-06,"Isolation",-2,114.5,"Before"
"DRM006",2023-03-02,"Isolation",0,225,"Before"
"DVF047",2022-07-18,"Isolation",0,129,"Before"
"DVF048",2022-07-18,"Isolation",0,104,"Before"
"DVF061",2022-07-18,"Isolation",0,143,"Before"
"DVM006",2022-03-14,"Isolation",-4,191,"Before"
"DVM009",2021-12-23,"Isolation",-1,202,"Before"
"DVM010",2022-03-14,"Isolation",-4,152,"Before"
"DVM021",2022-04-04,"Isolation",-10,145,"Before"
"FAM003",2022-04-04,"Isolation",-10,180,"Before"
"G10M033",2022-04-04,"Isolation",-5,155,"Before"
"G10M034",2022-12-16,"Isolation",-10,143,"Before"
"GOF025",2023-02-03,"Isolation",-1,149,"Before"
"GOF035",2022-05-06,"Isolation",-3,163,"Before"
"GOF040",2022-05-06,"Isolation",-3,109,"Before"
"GOM004",2022-02-15,"Isolation",0,180,"Before"
"GOM013",2023-01-12,"Isolation",0,184,"Before"
"KBF006",2022-01-18,"Isolation",0,100,"Before"
"LAM015",2022-03-03,"Isolation",-1,152,"Before"
"MAM022",2022-12-28,"Isolation",-15,193,"Before"
"MBF003",2023-02-03,"Isolation",-3,170,"Before"
"MBF004",2023-02-03,"Isolation",-3,121,"Before"
"MBF006",2023-02-03,"Isolation",-3,156,"Before"
"MIF008",2022-07-18,"Isolation",0,151,"Before"
"MIF012",2022-07-18,"Isolation",0,120,"Before"
"MIF016",2022-07-18,"Isolation",0,138,"Before"
"MIM003",2022-04-04,"Isolation",-5,142,"Before"
"MOM001",2022-12-16,"Isolation",-1,227,"Before"
"ORF005",2023-02-03,"Isolation",-1,185,"Before"
"ORF017",2023-02-03,"Isolation",-1,90,"Before"
"ORF018",2023-02-03,"Isolation",-1,134,"Before"
"PPF007",2022-03-31,"Isolation",0,156,"Before"
"PPF008",2022-03-31,"Isolation",0,133,"Before"
"PPF009",2022-03-31,"Isolation",0,146,"Before"
"PPM004",2022-03-14,"Isolation",-8,181,"Before"
"RRF004",2022-01-18,"Isolation",0,117,"Before"
"RRF006",2022-01-18,"Isolation",0,144,"Before"
"RRF010",2022-01-18,"Isolation",0,117,"Before"
"RSF008",2022-05-06,"Isolation",-3,105,"Before"
"SOF001",2022-05-06,"Isolation",-3,113,"Before"
"SOF002",2022-05-06,"Isolation",-3,94,"Before"
"SOF006",2022-05-06,"Isolation",-3,118,"Before"
"TMF002",2022-03-31,"Isolation",0,122,"Before"
"TSF048",2022-07-18,"Isolation",0,152,"Before"
"VGF001",2022-01-18,"Isolation",0,139,"Before"
"VGF002",2023-02-03,"Isolation",-1,136,"Before"
"VIM011",2022-02-15,"Isolation",0,191,"Before"
"WAF002",2022-07-18,"Isolation",0,149,"Before"
"WAF041",2022-03-31,"Isolation",0,156,"Before"
"WAF045",2022-03-31,"Isolation",0,137,"Before"
"WEF005",2022-03-31,"Isolation",0,130,"Before"
"Z3F043",2022-03-31,"Isolation",0,126,"Before"
"ARM003",2022-02-15,"Pairing",0,198,"Before"
"DVM009",2022-02-15,"Pairing",0,220,"Before"
"COF014",2022-02-15,"Pairing",0,148,"Before"
"KBF006",2022-02-15,"Pairing",0,117,"Before"
"VGF001",2022-02-15,"Pairing",0,143,"Before"
"RRF004",2022-02-15,"Pairing",0,118,"Before"
"COM009",2022-04-28,"Pairing",0,174,"Before"
"RRF006",2022-02-15,"Pairing",0,139,"Before"
"RRF010",2022-02-15,"Pairing",0,125,"Before"
"GOM004",2022-02-15,"Pairing",0,180,"Before"
"CUF012",2022-02-15,"Pairing",0,133,"Before"
"CUF031",2022-02-15,"Pairing",0,126,"Before"
"VIM011",2022-02-15,"Pairing",0,191,"Before"
"WAF041",2022-04-28,"Pairing",0,159,"Before"
"WAF045",2022-04-28,"Pairing",0,144,"Before"
"PPF007",2022-04-28,"Pairing",0,144,"Before"
"PPF009",2022-04-28,"Pairing",0,128,"Before"
"WEF005",2022-04-28,"Pairing",0,133,"Before"
"PPF008",2022-04-28,"Pairing",0,137,"Before"
"DVM006",2022-04-28,"Pairing",0,193,"Before"
"Z3F043",2022-04-28,"Pairing",0,136,"Before"
"TMF002",2022-04-28,"Pairing",0,125,"Before"
"DVM010",2022-04-28,"Pairing",0,163,"Before"
"ARF028",2022-06-03,"Pairing",0,137,"Before"
"SOF001",2022-06-03,"Pairing",0,114,"Before"
"SOF002",2022-06-03,"Pairing",0,107,"Before"
"SOF006",2022-06-03,"Pairing",0,127,"Before"
"DRF015",2022-06-03,"Pairing",0,114,"Before"
"RSF008",2022-06-03,"Pairing",0,107,"Before"
"GOF035",2022-06-03,"Pairing",0,169,"Before"
"GOF040",2022-06-03,"Pairing",0,121,"Before"
"TSF048",2022-08-15,"Pairing",0,156,"Before"
"MIF008",2022-08-15,"Pairing",0,149,"Before"
"MIF012",2022-08-15,"Pairing",0,129,"Before"
"MIF016",2022-08-15,"Pairing",0,152,"Before"
"DVF048",2022-08-15,"Pairing",0,111,"Before"
"DVF061",2022-08-15,"Pairing",0,147,"Before"
"WAF002",2022-08-15,"Pairing",0,152,"Before"
"DVF047",2022-08-15,"Pairing",0,128,"Before"
"BEM007",2022-06-03,"Pairing",0,173,"Before"
"PPM004",2022-06-03,"Pairing",0,192,"Before"
"DRM006",2022-06-03,"Pairing",0,224,"Before"
"DRM006",2023-03-02,"Pairing",0,225,"Before"
"LAM015",2022-06-03,"Pairing",0,164,"Before"
"MIM003",2022-08-15,"Pairing",0,180,"Before"
"FAM003",2022-08-15,"Pairing",0,173,"Before"
"G10M033",2022-08-15,"Pairing",0,159,"Before"
"DVM021",2022-08-15,"Pairing",0,156,"Before"
"VGF002",2023-03-02,"Pairing",0,141,"Before"
"ORF017",2023-03-02,"Pairing",0,101,"Before"
"MAM022",2023-03-02,"Pairing",0,189,"Before"
"ORF005",2023-03-02,"Pairing",-2,180,"Before"
"ORF018",2023-03-02,"Pairing",-2,134,"Before"
"MBF003",2023-03-02,"Pairing",-2,169,"Before"
"MBF006",2023-03-02,"Pairing",-2,167,"Before"
"GOM013",2023-03-02,"Pairing",0,197,"Before"
"DRF004",2023-03-02,"Pairing",-2,113,"Before"
"MBF004",2023-03-02,"Pairing",-2,124,"Before"
"G10M034",2023-03-02,"Pairing",0,161,"Before"
"GOF025",2023-03-02,"Pairing",0,151,"Before"
"ABF002",2023-03-02,"Pairing",0,148,"Before"
"MOM001",2023-03-02,"Pairing",0,228,"Before"
"VGF001",2022-04-28,"Eviction",0,160,"Before"
"RRF010",2022-03-08,"Eviction",0,117,"Before"
"CUF012",2022-02-16,"Eviction",0,133,"Before"
"WAF045",2022-05-01,"Eviction",0,143.666666666667,"Before"
"PPF009",2022-04-29,"Eviction",0,128.25,"Before"
"WEF005",2022-04-29,"Eviction",0,135,"Before"
"Z3F043",2022-09-27,"Eviction",0,146,"Before"
"ARF028",2023-01-16,"Eviction",-2,183,"Before"
"SOF002",2022-06-07,"Eviction",0,112,"Before"
"DRF015",2022-10-14,"Eviction",0,114,"Before"
"GOF040",2022-06-08,"Eviction",0,121,"Before"
"MIF008",2022-08-16,"Eviction",0,142,"Before"
"MIF012",2022-08-16,"Eviction",0,128.5,"Before"
"DVF047",2022-08-16,"Eviction",0,127.666666666667,"Before"
"ORF018",2023-03-08,"Eviction",0,133,"Before"
"MBF006",2023-03-10,"Eviction",0,157,"Before"
"DRF004",2023-03-04,"Eviction",0,108,"Before"
"GOF025",2023-03-03,"Eviction",0,140.5,"Before"
"RRF004",2022-04-28,"Eviction",0,127,"Before"
"RRF006",2022-03-08,"Eviction",0,146,"Before"
"CUF031",2022-02-16,"Eviction",0,122,"Before"
"WAF041",2022-05-01,"Eviction",0,159.2,"Before"
"PPF007",2022-04-29,"Eviction",0,160,"Before"
"PPF008",2022-04-29,"Eviction",0,139,"Before"
"TMF002",2022-09-27,"Eviction",0,134,"Before"
"SOF001",2023-01-16,"Eviction",-12,127,"Before"
"SOF006",2022-06-07,"Eviction",0,129,"Before"
"RSF008",2022-10-14,"Eviction",0,146,"Before"
"GOF035",2022-06-08,"Eviction",0,174,"Before"
"TSF048",2022-08-16,"Eviction",0,157,"Before"
